# N003. [NeuAc(a2-6) Gal(b1-4) GlcNAc(b1-2) Man(a1-3)] [NeuAc(a2-6) Gal(b1-4) GlcNAc(b1-2) Man(a1-6)] Man(b1-4) GlcNAc(b1-4) GlcNAc(b1-0)
# Deuterium
# Metal: Na
# Method: EED
# Permethylated
# Precursor: 2Na+ 1416.2032


m/z	z	I
210.31712	4+	1898488
212.57046	2+	1997429
212.82281	4+	2145578
212.92038	4+	1949181
212.98556	3+	1984573
213.45615	6+	2220031
213.77333	5+	2156543
218.914	1+	2231801
219.18145	1+	2088801
221.36358	1+	2355624
221.47871	3+	2388421
222.23389	7+	5831350
223.68858	5+	2134143
223.82441	2+	2275481
224.91128	3+	2240715
224.9333	4+	2232092
225.28731	4+	2292409
225.58749	5+	2136661
226.286	3+	2132140
226.39595	1+	2381938
230.53616	2+	2410972
232.70296	3+	2383438
234.5249	5+	2334177
235.05502	2+	4553295
237.61704	6+	2389235
238.60249	3+	2336759
239.24869	2+	2250296
240.14736	2+	2289055
240.1595	7+	3519124
240.78066	5+	2884795
242.29113	4+	2281912
242.31625	3+	2184797
242.39919	3+	2353114
242.70476	3+	2175344
242.74963	3+	2964162
243.15274	2+	2156872
244.77126	2+	2155544
244.96628	15+	2995932
249.98936	2+	2295448
250.83909	5+	2253051
250.90564	3+	2609774
251.92138	3+	2209152
253.16579	1+	2168309
254.4597	4+	2176807
254.81729	10+	2227146
255.50059	7+	2252011
257.06512	4+	2257823
257.52855	2+	2292212
259.61112	2+	2248774
259.86241	4+	2336052
260.07435	17+	2436743
260.07646	1+	2677774
260.24982	1+	4116903
261.9734	6+	5206326
263.06371	2+	2262776
266.71279	1+	2373735
267.05616	1+	2740220
268.1151	3+	5729670
269.15799	2+	11839469
269.36818	13+	4614976
269.39021	18+	4584307
269.39903	13+	5956716
269.40999	14+	13004749
269.41028	16+	6176275
269.42121	14+	7137175
269.43116	19+	10200527
269.43373	18+	5061639
269.43398	14+	8105229
269.44606	13+	7740907
269.45052	19+	8821627
269.48001	6+	5884265
269.49066	13+	6923912
269.50339	13+	6227852
269.61649	2+	7768594
277.83306	3+	2450561
278.83355	2+	2353545
282.05099	1+	4825196
283.04826	5+	2369738
283.24914	10+	4838518
287.82584	4+	2249240
288.4202	2+	2813274
293.3481	2+	2387048
297.59845	3+	2494418
299.16956	4+	9048628
299.58043	4+	2888897
302.68393	4+	2291426
304.71916	3+	2292283
306.0094	5+	2276425
307.94656	3+	2980016
313.83237	2+	2476537
314.66126	2+	4328410
316.03647	2+	2294503
316.49492	1+	2349693
316.67956	2+	13167009
317.17932	1+	35072012
322.98011	3+	2282981
323.10317	3+	2466494
324.87285	1+	2442558
324.99984	1+	2396879
325.9074	4+	4135606
326.6034	2+	3553458
326.88613	3+	2380396
329.08457	2+	2467047
329.10926	2+	2422431
335.73279	1+	2373881
338.15759	1+	7274279
338.99404	18+	2328915
339.75734	2+	3454164
340.26105	1+	5487033
340.54457	2+	2322755
341.17851	11+	2801977
343.13677	7+	3151536
345.92237	5+	3403994
347.63631	2+	2577877
347.77632	1+	3088160
352.98784	3+	2458915
356.16793	1+	85758200
357.06706	2+	2594191
358.19098	6+	2455411
362.59063	3+	3546651
366.15308	2+	10392201
368.16796	1+	23615288
371.28902	1+	2592542
375.90807	2+	3009166
376.19478	4+	8216009
378.44346	1+	2718758
382.3229	1+	8341077
384.03818	8+	4238554
386.08943	9+	2489301
396.16215	3+	2814177
399.18647	1+	243708496
400.19401	1+	20094058
400.60571	2+	2408248
401.17804	1+	19608150
401.90102	4+	5342765
403.29398	3+	2725347
406.1448	1+	45084116
412.19346	3+	7469798
414.17226	4+	4388754
416.18876	1+	16420554
417.17312	1+	7105616
428.01238	17+	3285472
430.20464	1+	8098066
432.46873	1+	2991200
438.1703	2+	2790849
438.25645	2+	2545875
439.15392	3+	3159210
440.18901	1+	25711574
442.08923	1+	2493565
444.22019	1+	17351222
445.0407	2+	2609565
448.1552	1+	30464566
449.58388	2+	2477417
450.23555	3+	3956697
450.57167	3+	2586373
454.20527	1+	8728224
456.18384	1+	30206150
456.22031	1+	42329552
458.19951	1+	50345644
458.25655	3+	3232762
466.90548	2+	2645211
470.19959	1+	30016442
470.25799	1+	17924438
471.91954	17+	54340284
472.07546	2+	19958278
472.21507	1+	129042816
472.23544	6+	18389812
480.18146	1+	25401456
481.69545	2+	3371613
484.21511	1+	5684795
485.85897	9+	2793927
485.86126	3+	5096642
486.23076	1+	58586768
488.21004	1+	19226582
489.61095	1+	2872702
490.88791	3+	2630809
494.19509	1+	8217059
495.71539	2+	3720137
498.23077	1+	17353560
499.87386	3+	3651058
500.24583	3+	4372022
500.26885	1+	22407674
502.28446	1+	33134280
512.24678	1+	13025429
514.1881	3+	3018807
514.22563	1+	33421628
514.2617	1+	15558911
514.28437	1+	89700880
515.20791	1+	4712603
520.77529	2+	2663397
528.24165	1+	37802736
530.27964	1+	28234446
535.78122	1+	2677118
540.14446	1+	2750439
544.23669	1+	68431064
544.27246	1+	40646912
544.29633	1+	81556312
546.25173	1+	15481960
546.31038	1+	22520508
548.21124	2+	2717475
554.21793	1+	12729837
556.2366	1+	34484756
558.25227	1+	22907690
560.26731	1+	21944204
560.2906	2+	6937705
562.3055	1+	16351182
563.66453	2+	2745588
565.10992	2+	2794663
572.23132	1+	18065044
572.268	1+	56658092
574.24746	1+	26427900
574.28313	1+	31493352
576.33382	1+	3198589
583.7603	4+	3201775
583.76383	2+	3356355
586.24715	1+	43136104
588.26237	1+	302079264
590.30031	1+	97543816
591.3085	1+	3095738
602.24336	1+	8515163
602.2807	2+	11401529
604.25775	1+	73584640
604.2934	1+	12328139
605.26755	1+	4137227
610.24416	1+	84106208
614.27857	1+	9416201
617.3318	1+	4475053
618.27344	1+	1189983104
619.28325	1+	58140036
620.28847	1+	140638816
624.2575	1+	2856675
628.29409	1+	3604966
629.09051	1+	2821868
642.27083	1+	11711808
644.28902	1+	17255398
648.31988	1+	6303680
662.2989	1+	20709454
684.28132	1+	15381980
690.29449	1+	17722222
690.33002	1+	66432852
692.31041	1+	17289546
702.3297	1+	7167733
716.30811	1+	15590098
718.32521	1+	40354352
732.34187	2+	4092926
734.3565	1+	12470504
734.3785	1+	12295826
736.33527	1+	11219036
740.31188	1+	4269037
741.34171	1+	9364337
745.37225	1+	8468048
746.35788	1+	6067191
758.31773	1+	91979536
759.3515	1+	10319922
761.36704	1+	4082012
764.36611	1+	5265609
773.36785	1+	21676716
776.36706	1+	130560664
781.33368	1+	41514252
785.3638	1+	3461825
786.35358	1+	3295753
787.38395	1+	8641473
789.36257	1+	16105884
789.39856	1+	9658365
791.37894	1+	78034952
793.39569	1+	5945083
801.36306	1+	6187362
804.38774	1+	25325250
808.91892	1+	3193428
815.37833	1+	9820170
817.39451	1+	25317878
819.40894	1+	43943832
821.38849	1+	53151956
825.42211	1+	44301752
831.37339	1+	54855340
833.38903	1+	45734556
847.40544	1+	107553824
848.41113	1+	9714355
849.37781	1+	8417729
851.39605	1+	3353526
855.37006	1+	11056534
863.39862	1+	303860512
879.37187	1+	7004737
886.37132	1+	3479565
888.38061	1+	27433450
892.94303	2+	4653317
894.06245	6+	4250791
910.39016	1+	5078302
910.99552	5+	3658435
915.94444	2+	7311322
921.37851	1+	4838131
921.44188	1+	24336074
922.48352	1+	11155242
925.41549	2+	3743845
935.96253	2+	4755371
938.47807	1+	10887002
951.45233	1+	4513659
953.40844	1+	13984246
953.46297	1+	4438463
963.45352	1+	7869148
966.47275	1+	8335829
978.46763	1+	15153737
979.98419	2+	6990075
985.43295	1+	105658776
987.98301	2+	4333703
991.48367	1+	11101379
993.46114	1+	17597786
994.98946	2+	7721949
1003.49243	2+	12206985
1005.4617	1+	5728395
1007.47812	1+	9831304
1009.49335	1+	5039803
1017.99394	2+	20662104
1021.49323	1+	4331373
1023.50855	1+	35039932
1025.48795	1+	23653516
1035.47382	1+	10337240
1037.48763	1+	25754298
1051.50453	1+	17786108
1059.47083	1+	9438149
1065.5232	2+	4150271
1067.49752	1+	196256592
1074.03412	2+	3959008
1077.48036	1+	6132245
1079.49857	1+	9684643
1081.0407	2+	16701716
1081.51438	2+	5456651
1086.49111	1+	5393393
1087.53658	1+	4573713
1091.49504	1+	81771224
1096.02782	2+	5682350
1096.04665	2+	13954591
1102.54936	2+	28962908
1103.53464	2+	4077874
1109.51206	1+	5343885
1111.04779	1+	11435493
1111.52362	1+	32293016
1117.52438	2+	10975495
1117.55462	2+	36840432
1125.04431	2+	15790999
1126.54392	1+	7172179
1126.55804	2+	5032329
1132.54769	2+	9208361
1133.50597	1+	57415640
1137.5992	1+	7994850
1138.52903	2+	6164326
1139.5548	1+	31023706
1140.55686	2+	56821568
1151.56898	2+	5114510
1154.54299	2+	105153448
1165.5713	1+	9112549
1167.60653	1+	10761571
1168.05205	2+	6698711
1175.57949	2+	6747835
1178.53713	1+	4517566
1180.59059	1+	4005962
1181.56311	1+	5337380
1182.56681	1+	11271708
1182.58023	2+	8974487
1183.60646	1+	13908003
1188.5844	1+	7794396
1189.59344	2+	13304235
1191.59082	2+	10080300
1195.54352	1+	5904842
1195.5823	1+	7861528
1196.58547	2+	9141881
1197.59288	2+	14401133
1204.59914	1+	9626005
1205.08809	2+	10156534
1206.59558	2+	13696501
1209.56084	1+	17234512
1211.08607	1+	4349637
1211.58614	2+	6868135
1212.5962	2+	28262546
1216.58059	2+	5132624
1218.58539	2+	9606479
1219.60653	2+	35724600
1220.59165	2+	16123479
1225.5532	1+	6493931
1226.09075	2+	19752718
1228.10556	2+	121085976
1229.52926	1+	6177237
1231.5468	1+	8815763
1232.08619	1+	4821885
1233.09753	2+	5064116
1234.10424	2+	7555905
1235.57406	1+	8511099
1239.57064	1+	25637986
1239.58282	2+	7220392
1241.58674	1+	125856448
1247.60182	2+	5944841
1249.55252	1+	6026964
1255.10647	2+	13228980
1256.10034	2+	101542264
1260.59143	2+	13035433
1262.10069	2+	19830142
1263.56874	1+	22522030
1269.60553	2+	6302269
1270.621	2+	47310656
1277.10695	2+	48742668
1285.57433	1+	11492189
1311.65716	1+	6377971
1313.67418	1+	6516430
1314.61443	1+	6389521
1320.15202	2+	7089117
1325.16174	2+	6464405
1326.66543	2+	8244075
1334.16324	2+	8358259
1335.15844	2+	20404624
1341.16009	2+	11603646
1342.1675	2+	49298932
1343.14099	2+	11309452
1348.17198	2+	9866587
1355.65897	2+	14929207
1356.18664	2+	22840352
1357.69426	1+	14199736
1361.66203	2+	4365961
1363.65676	2+	13043628
1363.67931	2+	44813164
1364.65486	1+	5963740
1370.18344	2+	10912401
1371.18861	2+	107528616
1371.72023	1+	13036780
1377.67496	2+	50204872
1379.18497	2+	411532608
1381.73681	2+	9748756
1384.68392	2+	33018498
1386.18977	2+	42169916
1387.17838	2+	5742047
1387.19914	2+	5792097
1387.67724	1+	17668842
1388.18293	2+	6756923
1392.68009	2+	50671748
1394.19027	2+	96574528
1400.19096	2+	160200208
1402.22954	2+	25794364
1406.21622	2+	14295272
1408.1879	2+	52089524
1413.71398	1+	5083856
1415.70086	2+	288431584
1416.20315	2+	4159500032
1417.74411	2+	23349506
1427.69605	1+	26371836
1430.65613	1+	5918559
1433.7085	1+	13657842
1443.66891	1+	7934148
1445.68563	1+	9483393
1456.70266	1+	6614182
1459.664	1+	7972019
1461.67897	1+	8581631
1472.69483	1+	4855675
1486.71289	1+	7849123
1489.67502	1+	9956177
1574.82948	1+	6773336
1586.82847	1+	5084264
1590.79386	1+	8309174
1606.78743	1+	6256087
1609.81223	1+	8141706
1615.76616	1+	6057236
1616.83584	1+	17813378
1631.79421	1+	32627986
1637.80529	1+	7299312
1647.79377	1+	7519769
1658.78334	1+	11421100
1690.81032	1+	22999974
1706.80589	1+	9595555
1718.86871	1+	15841544
1730.86781	1+	5209745
1732.88541	1+	21850746
1734.84858	1+	5538008
1748.87659	1+	18312068
1762.89193	1+	43914760
1770.86043	1+	25845656
1778.88687	1+	38878892
1802.88558	1+	15781137
1806.91098	1+	5160153
1808.89541	1+	55914912
1834.91167	1+	5866582
1836.92862	1+	8551026
1862.94936	1+	5481292
1864.92293	1+	17130106
1876.92174	1+	19376570
1891.95542	1+	9259875
1908.9467	1+	10871786
1920.95381	1+	6063259
1922.96888	1+	21301926
1935.92803	1+	10253081
1938.95562	1+	8606964
1952.97457	1+	36126036
1966.99198	1+	76500704
1974.95584	1+	28479298
1979.95255	1+	12224938
1982.98701	1+	88123256
2002.94994	1+	5572197
2006.98039	1+	11789653
2012.99514	1+	59508476
2059.03794	1+	7153462
2073.94948	1+	6305074
2081.02072	1+	12552848
2094.05482	1+	6182527
2107.05928	1+	7492788
2138.08405	1+	18947522
2140.0958	1+	30189142
2152.08697	1+	6422888
2169.09966	1+	31738524
2178.07343	1+	8693169
2182.10631	1+	39240748
2198.10206	1+	27368342
2212.11854	1+	53667180
2220.08117	1+	44762340
2229.12227	1+	11291282
2242.10593	1+	12813070
2252.09928	1+	6727931
2258.12274	1+	37593652
2286.09108	1+	50626104
2318.11331	1+	10746948
2325.89028	2+	6590781
2343.66611	2+	6277200
2348.13186	1+	8282166
2350.14237	1+	29666254
2356.20777	1+	7970117
2362.14223	1+	8576399
2378.13563	1+	15099104
2381.162	1+	40063384
2392.15429	1+	34813792
2401.19782	1+	11852639
2409.1566	1+	12139580
2424.1816	1+	331832608
2434.22561	1+	41777300
2439.91237	2+	9945339
2449.15074	1+	13563283
2531.20876	1+	9497707
2605.24944	1+	12987243
2623.26938	1+	12514514
2637.28799	1+	11254091
2683.31582	1+	7789808
2694.32018	1+	8772462
2710.31633	1+	7556741
2724.32495	1+	29165182
2737.32888	1+	13198042
2741.36003	1+	24764098
2753.33551	1+	18917790
2757.36099	1+	62892864
2767.34713	1+	34969376
2785.35623	1+	12196937
2799.36777	1+	43064396
2809.41478	1+	26125512
2817.37871	1+	11267886
