# N012. [NeuAc(a2-3) Gal(b1-4) GlcNAc(b1-2) Man(a1-3)] [[Man(a1-3)] [Man(a1-6)] Man(a1-6)] Man(b1-4) GlcNAc(b1-4) GlcNAc(b1-0)
# Deuterium
# Metal: Na
# Method: EED
# Permethylated
# Precursor: 2Na+ 1215.1034

m/z	z	I
206.43288	5+	4425916
208.1332	1+	15518331
209.13916	3+	3450061
211.76525	3+	3297698
213.0733	2+	7073226
218.80891	4+	9503752
221.76862	1+	6037656
222.11009	3+	6742623
224.12567	1+	32512862
225.033	10+	3828370
226.04545	7+	5633709
226.95129	1+	22826378
227.08901	1+	58533540
235.05533	1+	10122075
238.10489	1+	14412052
239.00329	7+	4410854
240.15939	1+	15046242
243.0256	5+	5445367
243.02711	10+	30256492
244.76667	3+	7645751
246.13353	1+	16175958
252.12068	1+	11803661
257.09953	1+	38895140
260.4479	3+	4509524
262.14134	1+	22568780
265.57562	2+	3503840
266.10019	3+	4517072
266.13665	1+	10509449
266.97422	6+	3514336
267.08142	1+	31865586
268.05538	1+	9687350
268.11557	1+	41867708
269.12147	1+	3576053
269.15854	2+	87113936
269.63192	2+	22064070
277.18679	1+	56542620
280.11579	4+	6716149
280.13424	3+	4914106
281.05061	1+	32511336
281.09708	1+	80995144
282.05117	2+	4501449
282.16753	1+	8827528
283.13749	3+	4887480
285.15309	1+	54037092
291.78103	3+	3386150
296.1468	1+	25182092
297.13129	2+	5324659
299.16872	1+	120654440
301.12573	1+	25901412
303.78032	8+	5510834
305.49018	2+	4348540
305.65653	2+	4847124
306.13122	1+	6964730
308.00415	7+	3929526
311.17043	2+	5264489
311.90431	5+	3775081
312.14205	1+	14634301
314.91419	4+	3671848
315.14133	1+	42846620
315.16368	1+	79088824
315.98554	16+	4797785
316.11344	3+	6573902
317.17925	1+	301470752
318.00336	8+	5981943
323.10772	1+	75778352
324.14145	2+	56786680
325.16243	3+	5109322
325.82362	3+	15089540
326.15731	1+	23539328
327.10447	1+	23685260
327.16589	1+	7877256
328.11274	5+	3337278
329.08456	4+	5069316
329.12016	2+	17290296
332.10891	3+	7411829
333.09195	1+	18494886
334.50572	6+	5329100
339.1612	1+	110413560
339.50713	3+	8963674
339.67381	2+	13721755
340.82432	3+	8797246
340.9937	11+	3783008
342.1525	2+	15692329
345.17416	1+	215204048
346.12352	1+	102708016
352.13667	1+	11355244
352.17302	1+	12016344
353.15814	3+	15479157
354.153	1+	21558440
354.63599	2+	6441469
354.80188	3+	5855583
355.06972	1+	19357028
355.17232	3+	38304696
356.16788	1+	1748689920
357.01174	17+	3419393
357.15187	1+	66232920
358.12359	1+	18200562
358.18291	6+	4323875
358.67553	6+	5588259
